,brand,model,model_year,list_price,color,configration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,dealer_address
143,Dodge,Power Ram 1500,2010,na,Blue,Slt Hemi,Used,Pickup Truck,4 x 4,Automatic,Gasoline,187,na,"Toronto, ON M4Y 1X7"
144,Kia,Optima,2015,"$8,995",Grey,Navigation Leather Panoramic Sunroof One Owner Clean Carfax,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"221,000",https://www.carproof.com/order?ref=kijiji&vin=Knagn4a71f5555261,"3406 Kingston Road, Toronto, ON, M1M 1R2"
145,BMW,X5,2009,"$7,000",na,Diesel,Used,"SUV, Crossover",na,na,na,"235,000",na,"Pickering, ON L1V 1P4"
146,Audi,A4,2016,"$18,950",White,Komfort plus,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,"151,738",https://www.carproof.com/order?ref=kijiji&vin=WAUBFCFL7GN007449,na
147,Audi,A5,2010,"$18,990",Black,Premium,Used,Convertible,na,Automatic,Gasoline,"137,200",na,na
148,Scion,Other,2016,"$13,500",Silver,4dr HB,Used,Hatchback,Front-wheel drive (FWD),Automatic,Gasoline,"167,094",https://www.carproof.com/order?ref=kijiji&vin=JTNKARJEXGJ520260,na
149,Toyota,Corolla,2022,"$33,588",White,XLE,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"13,472",na,na
150,Toyota,Highlander,2020,"$44,888",Blue,XLE,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"31,617",na,na
151,Honda,HR-V,2016,"$16,888",Grey,LX,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"214,827",na,"7080 Dufferin Street, Vaughan, ON, L4K 0A1"
152,Toyota,Camry,2023,"$36,888",Black,SE,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"7,223",na,"7080 Dufferin Street, Vaughan, ON, L4K 0A1"
153,Toyota,Camry,2023,"$36,188",White,SE,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"9,494",na,na
154,Mercedes-Benz,B-Class,2009,"$5,995",Red,na,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"166,641",https://www.carproof.com/order?ref=kijiji&vin=WDDFH33X59J478943,na
155,Honda,Civic,2016,"$14,995",na,EX,Used,Sedan,na,na,na,"232,000",na,"1138 Kennedy Rd, Scarborough, ON M1P"
